neighborhood,average price,type,,,,,,,,
Flushing,"$2,150",2_bedroom,,,,,,,,
West Harlem,"$2,400",2_bedroom,,,,,,,,
Central Harlem,"$2,667",2_bedroom,,,,,,,,
East Village,"$2,933",2_bedroom,,,,,,,,
Murray Hill,"$4,678",2_bedroom,,,,,,,,
Ridgewood,"$2,000",2_bedroom,,,,,,,,
East Harlem,"$2,300",2_bedroom,,,,,,,,
Park Slope,"$2,700",2_bedroom,,,,,,,,
West Village,"$4,995",2_bedroom,,,,,,,,
Washington Heights,"$2,163",2_bedroom,,,,,,,,
Downtown Brooklyn,"$4,057",2_bedroom,,,,,,,,
Rego Park,"$2,300",2_bedroom,,,,,,,,
Kips Bay,"$3,646",2_bedroom,,,,,,,,
Theater District,"$4,850",2_bedroom,,,,,,,,
Greenpoint,"$2,550",2_bedroom,,,,,,,,
NoMad,"$7,150",2_bedroom,,,,,,,,
Bay Ridge,"$2,109",2_bedroom,,,,,,,,
East New York,"$1,995",2_bedroom,,,,,,,,
Elmhurst,"$2,236",2_bedroom,,,,,,,,
Bowery,"$2,850",2_bedroom,,,,,,,,
Clinton Hill,"$2,950",2_bedroom,,,,,,,,
Tribeca,"$5,625",2_bedroom,,,,,,,,
Forest Hills,"$2,300",2_bedroom,,,,,,,,
East Flatbush,"$1,950",2_bedroom,,,,,,,,
Gramercy Park,"$3,630",2_bedroom,,,,,,,,
Lower East Side,"$3,195",2_bedroom,,,,,,,,
Ocean Hill,"$2,100",2_bedroom,,,,,,,,
Jackson Heights,"$2,150",2_bedroom,,,,,,,,
Prospect Heights,"$2,700",2_bedroom,,,,,,,,
Woodside,"$2,173",2_bedroom,,,,,,,,
Greenwich Village,"$4,500",2_bedroom,,,,,,,,
Sheepshead Bay,"$2,200",2_bedroom,,,,,,,,
Bayside,"$2,300",2_bedroom,,,,,,,,
Flatiron District,"$9,295",2_bedroom,,,,,,,,
Sunset Park,"$1,900",2_bedroom,,,,,,,,
Carroll Gardens,"$3,000",2_bedroom,,,,,,,,
Soho,"$3,850",2_bedroom,,,,,,,,
Maspeth,"$2,000",2_bedroom,,,,,,,,
Battery Park City,"$4,431",2_bedroom,,,,,,,,
Corona,"$1,950",2_bedroom,,,,,,,,
Far Rockaway,"$2,160",2_bedroom,,,,,,,,
Greenwood Heights,"$2,100",2_bedroom,,,,,,,,
Boerum Hill,"$2,750",2_bedroom,,,,,,,,
Jamaica,"$2,200",2_bedroom,,,,,,,,
Gravesend,"$1,838",2_bedroom,,,,,,,,
Briarwood,"$2,050",2_bedroom,,,,,,,,
Canarsie,"$1,950",2_bedroom,,,,,,,,
Garment District,"$4,000",2_bedroom,,,,,,,,
NoLita,"$3,500",2_bedroom,,,,,,,,
Kew Gardens,"$2,125",2_bedroom,,,,,,,,
Fort Greene,"$3,000",2_bedroom,,,,,,,,
Chinatown,"$2,200",2_bedroom,,,,,,,,
Bensonhurst,"$1,795",2_bedroom,,,,,,,,
Kew Gardens Hills,"$2,100",2_bedroom,,,,,,,,
Glendale,"$2,000",2_bedroom,,,,,,,,
Middle Village,"$2,100",2_bedroom,,,,,,,,
Richmond Hill,"$1,980",2_bedroom,,,,,,,,
Midwood,"$2,000",2_bedroom,,,,,,,,
East Elmhurst,"$2,000",2_bedroom,,,,,,,,
Inwood,"$2,100",2_bedroom,,,,,,,,
Riverdale,"$2,600",2_bedroom,,,,,,,,
Queens Village,"$2,000",2_bedroom,,,,,,,,
St. Albans,"$2,300",2_bedroom,,,,,,,,
Rochdale,"$2,148",2_bedroom,,,,,,,,
Mott Haven,"$2,295",2_bedroom,,,,,,,,
Dyker Heights,"$1,900",2_bedroom,,,,,,,,
Cypress Hills,"$1,993",2_bedroom,,,,,,,,
Two Bridges,"$3,203",2_bedroom,,,,,,,,
Koreatown,"$2,888",2_bedroom,,,,,,,,
Woodhaven,"$1,925",2_bedroom,,,,,,,,
Wakefield,"$1,800",2_bedroom,,,,,,,,
College Point,"$1,900",2_bedroom,,,,,,,,
Rockaway Beach,"$2,000",2_bedroom,,,,,,,,
Brownsville,"$1,888",2_bedroom,,,,,,,,
Auburndale,"$2,175",2_bedroom,,,,,,,,
Kensington,"$2,123",2_bedroom,,,,,,,,
Brighton Beach,"$2,050",2_bedroom,,,,,,,,
