,borough,neighborhood,longitude,latitude,population,PC1,PC2,PC3,cluster
100,Manhattan,Chinatown,-73.99427936255978,40.71561842231432,47844.0,8.730687842336296,11.070659393164968,9.950842530519536,-1
101,Manhattan,Washington Heights,-73.93690027985234,40.85190252555305,151574.0,4.846966831662146,-4.78795504557197,0.12407862204268547,0
102,Manhattan,Inwood,-73.92121042203897,40.86768396449915,23373.0,4.108080637976786,-5.034362303778459,0.7475558557045426,0
103,Manhattan,Hamilton Heights,-73.94968791883366,40.823604284811935,48520.0,4.080872541880199,-4.176752211915076,0.4383565699466755,0
104,Manhattan,Manhattanville,-73.9573853935188,40.8169344294978,22950.0,5.661724227633015,-2.8560023712340867,-0.12043736553663298,0
105,Manhattan,Central Harlem,-73.94321112603905,40.81597606742414,118665.0,3.6144699660489255,-4.527931246130119,2.229895629346171,-1
106,Manhattan,East Harlem,-73.94418223148524,40.79224946663033,115921.0,5.737081768168413,-4.420407852773523,1.2060674434900804,0
107,Manhattan,Upper East Side,-73.96050763135,40.775638573301805,30604.0,7.083659949998793,0.2771538882837918,0.1027031943335771,3
108,Manhattan,Yorkville,-73.94711784471826,40.77592984988488,77942.0,7.375030708308131,-0.7761695593551632,-1.883489192835808,2
109,Manhattan,Lenox Hill,-73.9588596881376,40.76811265828733,40386.0,8.779501387356706,0.8566596938584476,-3.792371494766981,2
110,Manhattan,Roosevelt Island,-73.94916769227953,40.76215960576283,40386.0,-1.1698904881551775,-0.207408408687661,-0.5990429115856045,0
111,Manhattan,Upper West Side,-73.97705923630603,40.78765799853485,132378.0,11.230807890101424,2.218841247312495,-2.264685361978596,4
112,Manhattan,Lincoln Square,-73.98533777001262,40.77352888942166,61489.0,9.919092283912137,0.34995348701888834,-3.9151388231571964,2
113,Manhattan,Clinton,-73.99611936309479,40.75910089146212,45884.0,10.647520690736973,3.0860377519166713,-2.273293127417844,4
114,Manhattan,Midtown,-73.98166882730304,40.75469110270623,39930.0,10.794905296125327,4.324142323808188,-2.1902980710549014,4
115,Manhattan,Murray Hill,-73.97833207924127,40.748303077252174,51739.0,11.471502605297522,3.8047979843629665,-1.746074796756092,4
