,neighborhood,borough,coordinates,longitude,latitude
118,East Village,Manhattan,"[-73.98222616506416, 40.727846777270244]",-73.98222616506416,40.727846777270244
119,Lower East Side,Manhattan,"[-73.98089031999291, 40.71780674892765]",-73.98089031999291,40.71780674892765
120,Tribeca,Manhattan,"[-74.01068328559087, 40.721521967443216]",-74.01068328559087,40.721521967443216
121,Little Italy,Manhattan,"[-73.99730467208073, 40.71932379395907]",-73.99730467208073,40.71932379395907
122,Soho,Manhattan,"[-74.00065666959759, 40.72218384131794]",-74.00065666959759,40.72218384131794
123,West Village,Manhattan,"[-74.00617998126812, 40.73443393572434]",-74.00617998126812,40.73443393572434
124,Manhattan Valley,Manhattan,"[-73.96428617740655, 40.797307041702865]",-73.96428617740655,40.797307041702865
125,Morningside Heights,Manhattan,"[-73.96389627905332, 40.807999738165826]",-73.96389627905332,40.807999738165826
126,Gramercy,Manhattan,"[-73.98137594833541, 40.737209832715]",-73.98137594833541,40.737209832715
127,Battery Park City,Manhattan,"[-74.01686930508617, 40.71193198394565]",-74.01686930508617,40.71193198394565
128,Financial District,Manhattan,"[-74.0106654452127, 40.70710710727048]",-74.0106654452127,40.70710710727048
129,Astoria,Queens,"[-73.91565374304234, 40.76850859335492]",-73.91565374304234,40.76850859335492
130,Woodside,Queens,"[-73.90184166838284, 40.74634908860222]",-73.90184166838284,40.74634908860222
131,Jackson Heights,Queens,"[-73.88282109164365, 40.75198138007367]",-73.88282109164365,40.75198138007367
132,Elmhurst,Queens,"[-73.88165622288388, 40.744048505122024]",-73.88165622288388,40.744048505122024
133,Howard Beach,Queens,"[-73.8381376460028, 40.65422527738487]",-73.8381376460028,40.65422527738487
134,Corona,Queens,"[-73.85682497345258, 40.74238175015667]",-73.85682497345258,40.74238175015667
135,Forest Hills,Queens,"[-73.84447500788983, 40.72526378216503]",-73.84447500788983,40.72526378216503
136,Kew Gardens,Queens,"[-73.82981905825703, 40.7051790354148]",-73.82981905825703,40.7051790354148
137,Richmond Hill,Queens,"[-73.83183321446887, 40.69794731471763]",-73.83183321446887,40.69794731471763
138,Flushing,Queens,"[-73.83177300329582, 40.76445419697846]",-73.83177300329582,40.76445419697846
139,Long Island City,Queens,"[-73.93920223915505, 40.75021734610528]",-73.93920223915505,40.75021734610528
140,Sunnyside,Queens,"[-73.92691617561577, 40.74017628351924]",-73.92691617561577,40.74017628351924
141,East Elmhurst,Queens,"[-73.86704147658772, 40.76407323883091]",-73.86704147658772,40.76407323883091
142,Maspeth,Queens,"[-73.89621713626859, 40.725427374093606]",-73.89621713626859,40.725427374093606
143,Ridgewood,Queens,"[-73.90143517559589, 40.70832315613858]",-73.90143517559589,40.70832315613858
144,Glendale,Queens,"[-73.87074167435605, 40.70276242967838]",-73.87074167435605,40.70276242967838
145,Rego Park,Queens,"[-73.8578268690537, 40.72897409480735]",-73.8578268690537,40.72897409480735
146,Woodhaven,Queens,"[-73.8581104655432, 40.68988687915789]",-73.8581104655432,40.68988687915789
147,Ozone Park,Queens,"[-73.84320266173447, 40.680708468265415]",-73.84320266173447,40.680708468265415
148,South Ozone Park,Queens,"[-73.80986478649041, 40.66854957767195]",-73.80986478649041,40.66854957767195
149,College Point,Queens,"[-73.84304528896125, 40.784902749260205]",-73.84304528896125,40.784902749260205
150,Whitestone,Queens,"[-73.81420216610863, 40.78129076602694]",-73.81420216610863,40.78129076602694
151,Bayside,Queens,"[-73.7742736306867, 40.76604063281064]",-73.7742736306867,40.76604063281064
152,Auburndale,Queens,"[-73.79176243728061, 40.76172954903262]",-73.79176243728061,40.76172954903262
153,Little Neck,Queens,"[-73.7388977558074, 40.7708261928267]",-73.7388977558074,40.7708261928267
154,Douglaston,Queens,"[-73.7424982072733, 40.76684609790763]",-73.7424982072733,40.76684609790763
155,Glen Oaks,Queens,"[-73.71548118999145, 40.74944079974332]",-73.71548118999145,40.74944079974332
156,Bellerose,Queens,"[-73.72012814826903, 40.72857318176675]",-73.72012814826903,40.72857318176675
157,Kew Gardens Hills,Queens,"[-73.82087764933566, 40.722578244228046]",-73.82087764933566,40.722578244228046
158,Fresh Meadows,Queens,"[-73.78271337003264, 40.7343944653313]",-73.78271337003264,40.7343944653313
159,Briarwood,Queens,"[-73.81174822458634, 40.71093547252271]",-73.81174822458634,40.71093547252271
160,Jamaica Center,Queens,"[-73.79690165888289, 40.70465736068717]",-73.79690165888289,40.70465736068717
161,Oakland Gardens,Queens,"[-73.75494976234332, 40.74561857141855]",-73.75494976234332,40.74561857141855
162,Queens Village,Queens,"[-73.73871484578424, 40.718893092167356]",-73.73871484578424,40.718893092167356
163,Hollis,Queens,"[-73.75925009335594, 40.71124344191904]",-73.75925009335594,40.71124344191904
164,South Jamaica,Queens,"[-73.7904261313554, 40.696911253789885]",-73.7904261313554,40.696911253789885
165,St. Albans,Queens,"[-73.75867603727717, 40.69444538522359]",-73.75867603727717,40.69444538522359
166,Rochdale,Queens,"[-73.77258787620906, 40.67521139591733]",-73.77258787620906,40.67521139591733
167,Springfield Gardens,Queens,"[-73.76042092682287, 40.666230490368584]",-73.76042092682287,40.666230490368584
168,Cambria Heights,Queens,"[-73.73526873708026, 40.692774639160845]",-73.73526873708026,40.692774639160845
169,Rosedale,Queens,"[-73.73526079428278, 40.659816433428084]",-73.73526079428278,40.659816433428084
170,Far Rockaway,Queens,"[-73.75497968043872, 40.603134432500894]",-73.75497968043872,40.603134432500894
171,Broad Channel,Queens,"[-73.8200548911032, 40.60302658351238]",-73.8200548911032,40.60302658351238
172,Breezy Point,Queens,"[-73.92551196994168, 40.55740128845452]",-73.92551196994168,40.55740128845452
173,Steinway,Queens,"[-73.90228960391673, 40.775923015642896]",-73.90228960391673,40.775923015642896
174,Beechhurst,Queens,"[-73.80436451720988, 40.79278140360048]",-73.80436451720988,40.79278140360048
175,Bay Terrace,Queens,"[-73.7768022262158, 40.782842806245554]",-73.7768022262158,40.782842806245554
176,Edgemere,Queens,"[-73.77613282391705, 40.595641807368494]",-73.77613282391705,40.595641807368494
177,Arverne,Queens,"[-73.79199233136943, 40.58914394372971]",-73.79199233136943,40.58914394372971
178,Rockaway Beach,Queens,"[-73.82236121088751, 40.582801696845586]",-73.82236121088751,40.582801696845586
179,Neponsit,Queens,"[-73.85754672410827, 40.572036730217015]",-73.85754672410827,40.572036730217015
180,Murray Hill,Queens,"[-73.81276269135866, 40.764126122614066]",-73.81276269135866,40.764126122614066
