,id,borough,neighborhood,longitude,latitude,population,number_of_restaurants,average_review_count,average_restaurant_rating,average_price_level,yelp_category
121,nyu_2451_34572.120,Manhattan,Lower East Side,-73.98089031999291,40.71780674892765,72957.0,20,620,4.4,2,pizza
122,nyu_2451_34572.121,Manhattan,Tribeca,-74.01068328559087,40.721521967443216,10686.0,20,649,4.3,2,newamerican
123,nyu_2451_34572.122,Manhattan,Little Italy,-73.99730467208073,40.71932379395907,10686.0,20,1567,4.4,2,breakfast_brunch
124,nyu_2451_34572.123,Manhattan,Soho,-74.00065666959759,40.72218384131794,10686.0,20,1022,4.4,2,italian
125,nyu_2451_34572.124,Manhattan,West Village,-74.00617998126812,40.73443393572434,66880.0,20,1313,4.5,2,cocktailbars
126,nyu_2451_34572.125,Manhattan,Manhattan Valley,-73.96428617740655,40.797307041702865,23000.0,56,471,4.3,2,italian
127,nyu_2451_34572.126,Manhattan,Morningside Heights,-73.96389627905332,40.807999738165826,55929.0,20,743,4.3,2,delis
128,nyu_2451_34572.127,Manhattan,Gramercy,-73.98137594833541,40.737209832715,27988.0,20,668,4.3,2,breakfast_brunch
129,nyu_2451_34572.128,Manhattan,Battery Park City,-74.01686930508617,40.71193198394565,42483.0,20,813,4.2,2,breakfast_brunch
130,nyu_2451_34572.129,Manhattan,Financial District,-74.0106654452127,40.70710710727048,54000.0,20,712,4.3,2,newamerican
131,nyu_2451_34572.130,Queens,Astoria,-73.91565374304234,40.76850859335492,78793.0,20,523,4.4,2,mediterranean
132,nyu_2451_34572.131,Queens,Woodside,-73.90184166838284,40.74634908860222,45099.0,20,179,4.1,2,breakfast_brunch
133,nyu_2451_34572.132,Queens,Jackson Heights,-73.88282109164365,40.75198138007367,108152.0,20,702,4.3,2,colombian
134,nyu_2451_34572.133,Queens,Elmhurst,-73.88165622288388,40.744048505122024,101188.0,20,835,4.2,2,thai
135,nyu_2451_34572.134,Queens,Howard Beach,-73.8381376460028,40.65422527738487,13074.0,20,732,3.9,2,hotdogs
136,nyu_2451_34572.135,Queens,Corona,-73.85682497345258,40.74238175015667,57658.0,20,442,4.2,1,mexican
137,nyu_2451_34572.136,Queens,Forest Hills,-73.84447500788983,40.72526378216503,83728.0,46,547,4.1,2,breakfast_brunch
138,nyu_2451_34572.137,Queens,Kew Gardens,-73.82981905825703,40.7051790354148,23278.0,20,466,4.2,2,italian
139,nyu_2451_34572.138,Queens,Richmond Hill,-73.83183321446887,40.69794731471763,62982.0,20,407,4.0,2,indpak
140,nyu_2451_34572.139,Queens,Flushing,-73.83177300329582,40.76445419697846,98990.0,20,500,4.2,2,chinese
141,nyu_2451_34572.140,Queens,Long Island City,-73.93920223915505,40.75021734610528,6677.0,20,414,4.2,2,chinese
142,nyu_2451_34572.141,Queens,Sunnyside,-73.92691617561577,40.74017628351924,21090.0,20,545,4.3,2,breakfast_brunch
143,nyu_2451_34572.221,Staten Island,Sunnyside,-74.0971255217853,40.61276015756489,12000.0,3,116,2.7,2,newamerican
144,nyu_2451_34572.142,Queens,East Elmhurst,-73.86704147658772,40.76407323883091,23150.0,13,325,4.0,1,tradamerican
145,nyu_2451_34572.143,Queens,Maspeth,-73.89621713626859,40.725427374093606,60354.0,19,469,4.2,2,delis
146,nyu_2451_34572.144,Queens,Ridgewood,-73.90143517559589,40.70832315613858,69317.0,20,346,4.2,2,delis
147,nyu_2451_34572.145,Queens,Glendale,-73.87074167435605,40.70276242967838,32496.0,6,617,4.2,2,delis
148,nyu_2451_34572.146,Queens,Rego Park,-73.8578268690537,40.72897409480735,28260.0,20,228,4.3,1,kosher
149,nyu_2451_34572.147,Queens,Woodhaven,-73.8581104655432,40.68988687915789,56674.0,20,268,4.1,1,mexican
150,nyu_2451_34572.148,Queens,Ozone Park,-73.84320266173447,40.680708468265415,21376.0,31,284,4.1,1,chinese
151,nyu_2451_34572.149,Queens,South Ozone Park,-73.80986478649041,40.66854957767195,75878.0,10,172,4.2,2,newamerican
152,nyu_2451_34572.150,Queens,College Point,-73.84304528896125,40.784902749260205,24275.0,20,200,4.2,2,sandwiches
153,nyu_2451_34572.151,Queens,Whitestone,-73.81420216610863,40.78129076602694,30773.0,7,265,4.3,2,delis
154,nyu_2451_34572.152,Queens,Bayside,-73.7742736306867,40.76604063281064,42483.0,20,491,4.3,2,tradamerican
155,nyu_2451_34572.153,Queens,Auburndale,-73.79176243728061,40.76172954903262,19996.0,20,668,4.3,2,korean
156,nyu_2451_34572.154,Queens,Little Neck,-73.7388977558074,40.7708261928267,12370.0,20,243,4.4,2,cantonese
157,nyu_2451_34572.155,Queens,Douglaston,-73.7424982072733,40.76684609790763,12370.0,20,217,4.1,2,italian
158,nyu_2451_34572.156,Queens,Glen Oaks,-73.71548118999145,40.74944079974332,11286.0,10,472,4.0,1,pizza
159,nyu_2451_34572.157,Queens,Bellerose,-73.72012814826903,40.72857318176675,25287.0,10,326,4.3,1,halal
160,nyu_2451_34572.158,Queens,Kew Gardens Hills,-73.82087764933566,40.722578244228046,37479.0,14,336,4.2,2,kosher
161,nyu_2451_34572.159,Queens,Fresh Meadows,-73.78271337003264,40.7343944653313,8906.0,26,429,4.0,2,chinese
162,nyu_2451_34572.160,Queens,Briarwood,-73.81174822458634,40.71093547252271,19569.0,20,266,4.1,2,chinese
163,nyu_2451_34572.161,Queens,Jamaica Center,-73.79690165888289,40.70465736068717,53751.0,20,286,3.7,2,caribbean
164,nyu_2451_34572.162,Queens,Oakland Gardens,-73.75494976234332,40.74561857141855,28237.0,16,236,4.3,2,korean
165,nyu_2451_34572.163,Queens,Queens Village,-73.73871484578424,40.718893092167356,52504.0,20,139,3.9,1,caribbean
166,nyu_2451_34572.164,Queens,Hollis,-73.75925009335594,40.71124344191904,20269.0,16,103,3.9,1,caribbean
167,nyu_2451_34572.165,Queens,South Jamaica,-73.7904261313554,40.696911253789885,38894.0,14,57,3.5,1,delis
168,nyu_2451_34572.166,Queens,St. Albans,-73.75867603727717,40.69444538522359,48593.0,16,284,3.9,1,caribbean
169,nyu_2451_34572.167,Queens,Rochdale,-73.77258787620906,40.67521139591733,25000.0,13,562,3.9,2,burgers
170,nyu_2451_34572.168,Queens,Springfield Gardens,-73.76042092682287,40.666230490368584,35475.0,15,288,3.3,1,hotdogs
171,nyu_2451_34572.169,Queens,Cambria Heights,-73.73526873708026,40.692774639160845,18677.0,15,138,3.6,2,caribbean
172,nyu_2451_34572.170,Queens,Rosedale,-73.73526079428278,40.659816433428084,25063.0,13,614,4.1,1,delis
173,nyu_2451_34572.171,Queens,Far Rockaway,-73.75497968043872,40.603134432500894,25029.0,20,142,4.0,1,pizza
174,nyu_2451_34572.172,Queens,Broad Channel,-73.8200548911032,40.60302658351238,7004.0,3,40,4.4,2,tradamerican
175,nyu_2451_34572.173,Queens,Breezy Point,-73.92551196994168,40.55740128845452,7004.0,2,292,4.3,2,newamerican
176,nyu_2451_34572.174,Queens,Steinway,-73.90228960391673,40.775923015642896,47534.0,25,458,4.4,2,greek
177,nyu_2451_34572.175,Queens,Beechhurst,-73.80436451720988,40.79278140360048,15000.0,16,170,4.3,2,pizza
