,index,lodging,restaurant,school,health,bar,church,bank,store,clothing,tourist attraction,department store,office,electronics store,park,supermarket
211,nyu_2451_34572.211,0,57,19,15,8,9,18,55,14,1,4,6,4,4,4
212,nyu_2451_34572.212,0,18,8,7,2,0,14,30,10,1,5,3,2,6,3
213,nyu_2451_34572.213,0,38,18,5,8,6,19,32,5,1,0,3,3,6,6
214,nyu_2451_34572.214,0,52,14,11,4,7,15,35,6,2,0,4,2,7,11
215,nyu_2451_34572.215,0,27,9,8,3,7,7,15,4,2,0,1,1,7,3
216,nyu_2451_34572.216,0,18,12,3,2,6,6,13,1,0,0,2,3,8,3
217,nyu_2451_34572.217,0,14,3,4,5,11,6,8,3,3,0,2,1,6,1
218,nyu_2451_34572.218,5,60,17,13,15,45,16,58,25,3,1,19,3,19,11
219,nyu_2451_34572.219,0,18,13,4,3,16,4,20,10,1,0,4,2,7,7
220,nyu_2451_34572.220,0,16,12,5,2,14,4,20,7,1,0,4,0,7,9
221,nyu_2451_34572.221,7,60,54,15,23,60,17,60,57,2,5,8,14,7,26
222,nyu_2451_34572.222,12,60,60,16,14,60,18,60,47,0,2,9,17,6,26
223,nyu_2451_34572.223,3,60,60,9,8,60,8,60,30,2,3,6,12,9,22
224,nyu_2451_34572.224,3,26,19,9,3,13,13,37,9,0,0,5,2,8,14
225,nyu_2451_34572.225,1,60,15,6,10,33,31,37,16,1,5,6,8,4,10
226,nyu_2451_34572.226,0,56,23,7,6,13,13,36,10,1,4,7,5,6,7
227,nyu_2451_34572.227,0,20,5,4,2,14,4,19,5,0,2,2,1,7,6
228,nyu_2451_34572.228,3,16,12,2,3,1,10,16,3,2,0,1,2,8,7
229,nyu_2451_34572.229,5,36,18,3,3,2,10,27,4,2,0,3,2,8,10
230,nyu_2451_34572.230,1,34,14,6,2,6,18,18,6,0,0,4,0,7,6
231,nyu_2451_34572.231,2,52,14,7,4,4,19,35,8,0,0,6,4,3,3
232,nyu_2451_34572.232,0,27,13,7,2,5,4,18,3,0,0,3,5,8,3
233,nyu_2451_34572.233,1,60,27,15,9,11,16,58,13,0,3,8,4,7,6
234,nyu_2451_34572.234,0,39,14,13,7,11,15,37,14,1,3,3,2,6,4
235,nyu_2451_34572.235,0,20,12,5,5,6,7,15,5,0,1,2,2,6,4
236,nyu_2451_34572.236,0,18,11,1,2,7,6,11,3,0,0,1,2,9,2
237,nyu_2451_34572.237,1,17,5,6,7,5,12,19,7,1,2,3,4,7,1
238,nyu_2451_34572.238,0,10,7,5,2,5,7,10,4,3,0,2,0,5,2
239,nyu_2451_34572.239,3,27,4,5,6,5,4,20,12,2,2,5,10,6,3
240,nyu_2451_34572.240,1,16,0,3,2,2,2,13,2,1,0,2,0,2,2
241,nyu_2451_34572.241,0,14,10,3,2,4,5,10,3,0,0,1,3,8,1
242,nyu_2451_34572.242,1,29,6,9,2,1,11,27,0,0,0,5,2,5,2
243,nyu_2451_34572.243,0,29,10,12,4,5,10,58,58,1,7,4,11,1,6
244,nyu_2451_34572.244,3,14,5,4,1,3,1,14,1,1,1,7,3,3,1
245,nyu_2451_34572.245,3,7,4,6,0,0,4,13,1,0,1,7,2,0,1
246,nyu_2451_34572.246,1,28,15,7,5,9,8,14,2,2,0,3,1,7,3
247,nyu_2451_34572.247,9,60,60,18,47,0,49,60,60,9,2,10,12,15,25
248,nyu_2451_34572.248,16,60,60,38,60,60,60,60,60,13,11,20,34,55,58
249,nyu_2451_34572.249,60,60,60,38,60,58,60,60,60,18,11,60,40,57,37
250,nyu_2451_34572.250,56,60,60,60,60,60,60,60,60,37,19,60,60,17,35
251,nyu_2451_34572.251,0,10,8,0,1,4,3,14,3,1,1,3,2,3,1
252,nyu_2451_34572.252,4,25,11,2,4,5,5,18,2,2,1,5,2,7,6
253,nyu_2451_34572.253,1,53,16,8,14,35,9,57,13,2,2,7,4,10,13
254,nyu_2451_34572.254,4,18,23,4,1,7,12,32,9,0,0,4,1,9,13
