,id,borough,neighborhood,longitude,latitude
195,nyu_2451_34572.196,Queens,North Corona,-73.85751790676447,40.7540709990489
196,nyu_2451_34572.197,Queens,Forest Hills Gardens,-73.8410221123401,40.7146110815117
197,nyu_2451_34572.198,Staten Island,St. George,-74.07935312512797,40.6449815710044
198,nyu_2451_34572.199,Staten Island,New Brighton,-74.08701650516625,40.64061455913511
199,nyu_2451_34572.200,Staten Island,Stapleton,-74.07790192660066,40.62692762538176
200,nyu_2451_34572.201,Staten Island,Rosebank,-74.06980526716141,40.61530494652761
201,nyu_2451_34572.202,Staten Island,West Brighton,-74.1071817826561,40.63187892654607
202,nyu_2451_34572.203,Staten Island,Grymes Hill,-74.08724819983729,40.624184791313006
203,nyu_2451_34572.204,Staten Island,Todt Hill,-74.1113288180088,40.59706851814673
204,nyu_2451_34572.205,Staten Island,South Beach,-74.0795529253982,40.58024741350956
205,nyu_2451_34572.206,Staten Island,Port Richmond,-74.12943426797008,40.63366930554365
206,nyu_2451_34572.207,Staten Island,Mariner's Harbor,-74.15008537046981,40.632546390481124
207,nyu_2451_34572.208,Staten Island,Port Ivory,-74.17464532993542,40.63968297845542
208,nyu_2451_34572.209,Staten Island,Castleton Corners,-74.11918058534842,40.61333593766742
209,nyu_2451_34572.210,Staten Island,New Springville,-74.16496031329827,40.594252379161695
210,nyu_2451_34572.211,Staten Island,Travis,-74.19073717538116,40.58631375103281
211,nyu_2451_34572.212,Staten Island,New Dorp,-74.1164794360638,40.57257231820632
212,nyu_2451_34572.213,Staten Island,Oakwood,-74.12156593771896,40.5584622432888
213,nyu_2451_34572.214,Staten Island,Great Kills,-74.14932381490992,40.549480228713605
214,nyu_2451_34572.215,Staten Island,Eltingville,-74.1643308041936,40.542230747450745
215,nyu_2451_34572.216,Staten Island,Annadale,-74.17854866165878,40.53811417474507
216,nyu_2451_34572.217,Staten Island,Woodrow,-74.20524582480326,40.541967622888755
217,nyu_2451_34572.218,Staten Island,Tottenville,-74.24656934235283,40.50533376115642
218,nyu_2451_34572.219,Staten Island,Tompkinsville,-74.08055351790115,40.637316067110326
219,nyu_2451_34572.220,Staten Island,Silver Lake,-74.09629029235458,40.61919310792676
220,nyu_2451_34572.221,Staten Island,Sunnyside,-74.0971255217853,40.61276015756489
221,nyu_2451_34572.222,Brooklyn,Ditmas Park,-73.96101312466779,40.643675183340974
222,nyu_2451_34572.223,Brooklyn,Wingate,-73.93718680559314,40.66094656188111
223,nyu_2451_34572.224,Brooklyn,Rugby,-73.92688212616955,40.655572313280764
224,nyu_2451_34572.225,Staten Island,Park Hill,-74.08015734936296,40.60919044434558
225,nyu_2451_34572.226,Staten Island,Westerleigh,-74.13304143951704,40.62109047275409
226,nyu_2451_34572.227,Staten Island,Graniteville,-74.15315246387762,40.620171512231884
227,nyu_2451_34572.228,Staten Island,Arlington,-74.16510420241124,40.63532509911492
228,nyu_2451_34572.229,Staten Island,Arrochar,-74.06712363225574,40.596312571276734
229,nyu_2451_34572.230,Staten Island,Grasmere,-74.0766743627905,40.59826835959991
230,nyu_2451_34572.231,Staten Island,Old Town,-74.08751118005578,40.59632891379513
231,nyu_2451_34572.232,Staten Island,Dongan Hills,-74.09639905312521,40.588672948199275
232,nyu_2451_34572.233,Staten Island,Midland Beach,-74.09348266303591,40.57352690574283
233,nyu_2451_34572.234,Staten Island,Grant City,-74.10585598545434,40.57621558711788
234,nyu_2451_34572.235,Staten Island,New Dorp Beach,-74.10432707469124,40.56425549307335
235,nyu_2451_34572.236,Staten Island,Bay Terrace,-74.13916622175768,40.55398800858462
236,nyu_2451_34572.237,Staten Island,Huguenot,-74.19174105747814,40.531911920489605
237,nyu_2451_34572.238,Staten Island,Pleasant Plains,-74.21983106616777,40.524699376118136
238,nyu_2451_34572.239,Staten Island,Butler Manor,-74.22950350260027,40.50608165346305
239,nyu_2451_34572.240,Staten Island,Charleston,-74.23215775896526,40.53053148283314
240,nyu_2451_34572.241,Staten Island,Rossville,-74.21572851113952,40.54940400650072
241,nyu_2451_34572.242,Staten Island,Arden Heights,-74.18588674583893,40.54928582278321
242,nyu_2451_34572.243,Staten Island,Greenridge,-74.17079414786092,40.555295236173194
243,nyu_2451_34572.244,Staten Island,Heartland Village,-74.15902208156601,40.58913894875281
244,nyu_2451_34572.245,Staten Island,Chelsea,-74.1895604551969,40.59472602746295
245,nyu_2451_34572.246,Staten Island,Bloomfield,-74.18725638381567,40.60577868452358
246,nyu_2451_34572.247,Staten Island,Bulls Head,-74.15940948657122,40.6095918004203
247,nyu_2451_34572.248,Manhattan,Carnegie Hill,-73.95325646837112,40.7826825671257
248,nyu_2451_34572.249,Manhattan,Noho,-73.98843368023597,40.72325901885768
249,nyu_2451_34572.250,Manhattan,Civic Center,-74.00541529873355,40.71522892046282
250,nyu_2451_34572.251,Manhattan,Midtown South,-73.98871313285247,40.7485096643122
251,nyu_2451_34572.252,Staten Island,Richmond Town,-74.1340572986257,40.56960594275505
252,nyu_2451_34572.253,Staten Island,Shore Acres,-74.06667766061771,40.60971934079284
253,nyu_2451_34572.254,Staten Island,Clifton,-74.072642445484,40.61917845202843
254,nyu_2451_34572.255,Staten Island,Concord,-74.08402364740358,40.6044731896879
255,nyu_2451_34572.256,Staten Island,Emerson Hill,-74.09776206972522,40.606794394801
256,nyu_2451_34572.257,Staten Island,Randall Manor,-74.09805062373887,40.63563000681151
257,nyu_2451_34572.258,Staten Island,Howland Hook,-74.18622331749823,40.63843283794795
258,nyu_2451_34572.259,Staten Island,Elm Park,-74.1418167896889,40.630146741193826
259,nyu_2451_34572.260,Brooklyn,Remsen Village,-73.91665331978048,40.652117451793494
260,nyu_2451_34572.261,Brooklyn,New Lots,-73.88511776379292,40.6627442796966
261,nyu_2451_34572.262,Brooklyn,Paerdegat Basin,-73.90233474295836,40.63131755039667
262,nyu_2451_34572.263,Brooklyn,Mill Basin,-73.91515391550404,40.61597423962336
263,nyu_2451_34572.264,Queens,Jamaica Hills,-73.79646462081593,40.71145964370482
264,nyu_2451_34572.265,Queens,Utopia,-73.79671678028349,40.73350025429757
265,nyu_2451_34572.266,Queens,Pomonok,-73.80486120040537,40.73493618075478
266,nyu_2451_34572.267,Queens,Astoria Heights,-73.89467996270574,40.7703173929982
267,nyu_2451_34572.268,Bronx,Claremont Village,-73.90119903387667,40.83142834161548
268,nyu_2451_34572.269,Bronx,Concourse Village,-73.91584652759009,40.824780490842905
269,nyu_2451_34572.270,Bronx,Mount Eden,-73.91655551964419,40.84382617671654
270,nyu_2451_34572.271,Bronx,Mount Hope,-73.90829930881988,40.84884160724665
271,nyu_2451_34572.272,Manhattan,Sutton Place,-73.96355614094303,40.76028033131374
272,nyu_2451_34572.273,Queens,Hunters Point,-73.95386782130745,40.743414090073536
273,nyu_2451_34572.274,Manhattan,Turtle Bay,-73.96770824581834,40.75204236950722
274,nyu_2451_34572.275,Manhattan,Tudor City,-73.97121928722265,40.746917410740195
275,nyu_2451_34572.276,Manhattan,Stuyvesant Town,-73.97405170469203,40.73099955477061
276,nyu_2451_34572.277,Manhattan,Flatiron,-73.9909471052826,40.739673047638426
277,nyu_2451_34572.278,Queens,Sunnyside Gardens,-73.91819286431682,40.74565180608076
278,nyu_2451_34572.279,Queens,Blissville,-73.93244235260178,40.73725071694497
279,nyu_2451_34572.280,Brooklyn,Fulton Ferry,-73.99550751888415,40.70328109093014
280,nyu_2451_34572.281,Brooklyn,Vinegar Hill,-73.98111603592393,40.70332149882874
281,nyu_2451_34572.282,Brooklyn,Weeksville,-73.93053108817338,40.67503986503237
282,nyu_2451_34572.283,Brooklyn,Broadway Junction,-73.90331684852599,40.67786104769531
283,nyu_2451_34572.284,Brooklyn,Dumbo,-73.9887528074504,40.70317632822692
284,nyu_2451_34572.285,Staten Island,Manor Heights,-74.12059399718001,40.60180957631444
285,nyu_2451_34572.286,Staten Island,Willowbrook,-74.13208447484298,40.60370692627371
286,nyu_2451_34572.287,Staten Island,Sandy Ground,-74.21776636068567,40.541139922091766
287,nyu_2451_34572.288,Staten Island,Egbertville,-74.12727240604946,40.579118742961214
288,nyu_2451_34572.289,Queens,Roxbury,-73.89213760232822,40.56737588957032
289,nyu_2451_34572.290,Brooklyn,Homecrest,-73.95918459428702,40.598525095137255
290,nyu_2451_34572.291,Queens,Middle Village,-73.88114319200604,40.716414511158185
291,nyu_2451_34572.292,Staten Island,Prince's Bay,-74.20152556457658,40.52626406734812
292,nyu_2451_34572.293,Staten Island,Lighthouse Hill,-74.13792663771568,40.57650629379489
293,nyu_2451_34572.294,Staten Island,Richmond Valley,-74.22957080626941,40.51954145748909
294,nyu_2451_34572.295,Queens,Malba,-73.82667757138641,40.79060155670148
295,nyu_2451_34572.296,Brooklyn,Highland Park,-73.890345709872,40.6819989345173
296,nyu_2451_34572.297,Brooklyn,Madison,-73.94841515328893,40.60937770113766
297,nyu_2451_34572.298,Bronx,Bronxdale,-73.86172577555115,40.85272297633017
298,nyu_2451_34572.299,Bronx,Allerton,-73.85931863221647,40.86578787802982
299,nyu_2451_34572.300,Bronx,Kingsbridge Heights,-73.90152264513144,40.8703923914147
300,nyu_2451_34572.301,Brooklyn,Erasmus,-73.94817709920184,40.64692606658579
301,nyu_2451_34572.302,Manhattan,Hudson Yards,-74.00011136202637,40.75665808227519
302,nyu_2451_34572.303,Queens,Hammels,-73.80553002968718,40.58733774018741
303,nyu_2451_34572.304,Queens,Bayswater,-73.76596781445627,40.611321691283834
304,nyu_2451_34572.305,Queens,Queensbridge,-73.94563070334091,40.756091297094706
305,nyu_2451_34572.306,Staten Island,Fox Hills,-74.08173992211962,40.61731079252983
